Headline,Date,url,description,image,include,section,title,hero,original_image_url
How eliminating two EPA programs could affect large parts of America,24-Mar-17,http://www.washingtonpost.com/graphics/national/trump-epa-rollbacks/,Efforts to clean up the Chesapeake Bay and the Great Lakes stretch across multiple regions. Trump wants to cut these programs.,https://www.washingtonpost.com/graphics/national/trump-epa-rollbacks/img/trump-epa-promo.jpg,1,more,How eliminating two EPA programs could affect large parts of America,/assets/images/more-trump-epa-promo.jpg,https://www.washingtonpost.com/graphics/national/trump-epa-rollbacks/img/trump-epa-promo.jpg
How Trump's inaugural speech differed from past presidential addresses,20-Jan-17,http://www.washingtonpost.com/graphics/politics/trump-inauguration-speech/,"The message from President Trump stood in stark contrast to many earlier inaugural speeches, offering a different policy vision driven by Trump's call for putting America first in foreign affairs and the people ahead of the establishment at home.",https://www.washingtonpost.com/r/2010-2019/WashingtonPost/2017/01/21/National-Politics/Graphics/2300trump-speech-promo.jpg,1,more,How Trump's inaugural speech differed from past presidential addresses,/assets/images/more-2300trump-speech-promo.jpg,https://www.washingtonpost.com/r/2010-2019/WashingtonPost/2017/01/21/National-Politics/Graphics/2300trump-speech-promo.jpg
This map explains the weather we had in 2016,3-Jan-17,http://www.washingtonpost.com/graphics/national/2016-weather/,Rain and drought -- the yin and yang of U.S. weather in 2016.,https://www.washingtonpost.com/graphics/national/2016-weather/img/2300weather-promo.jpg,1,more,This map explains the weather we had in 2016,/assets/images/more-2300weather-promo.jpg,https://www.washingtonpost.com/graphics/national/2016-weather/img/2300weather-promo.jpg
Six maps that show the anatomy of America's vast infrastructure,1-Dec-16,http://www.washingtonpost.com/graphics/national/maps-of-american-infrastrucure/,"A look at the United States's bridges, electrical grid, pipelines, railroads, airports and waterways.",https://www.washingtonpost.com/graphics/national/maps-of-american-infrastrucure/img/infrastructure-grid-promo.jpg?pid=1,1,more,Six maps that show the anatomy of America's vast infrastructure,/assets/images/more-infrastructure-grid-promo.jpg,https://www.washingtonpost.com/graphics/national/maps-of-american-infrastrucure/img/infrastructure-grid-promo.jpg?pid=1
How Trump won the presidency with razor-thin margins in swing states,11-Nov-16,http://www.washingtonpost.com/graphics/politics/2016-election/swing-state-margins/,"Only 107,000 votes in three states decided the election.",https://www.washingtonpost.com/graphics/politics/2016-election/swing-state-margins/img/2300-swing-state-margins-1.jpg,1,more,How Trump won the presidency with razor-thin margins in swing states,/assets/images/more-2300-swing-state-margins-1.jpg,https://www.washingtonpost.com/graphics/politics/2016-election/swing-state-margins/img/2300-swing-state-margins-1.jpg
Where polling underestimated Trump?s chances,9-Nov-16,http://www.washingtonpost.com/graphics/politics/2016-election/where-the-polls-got-it-wrong/,"Polls in many battleground states failed to accurately predict the election results Tuesday, notably in two states key to Donald Trump's victory, Pennsylvania and Wisconsin",https://www.washingtonpost.com/graphics/politics/2016-election/where-the-polls-got-it-wrong/img/2300-where-polls-were-wrong.jpg,1,more,Where polling underestimated Trump?s chances,/assets/images/more-2300-where-polls-were-wrong.jpg,https://www.washingtonpost.com/graphics/politics/2016-election/where-the-polls-got-it-wrong/img/2300-where-polls-were-wrong.jpg
Where polling underestimated Trump's chances,9-Nov-16,http://www.washingtonpost.com/graphics/politics/2016-election/where-the-polls-got-it-wrong/,"Polls in many battleground states failed to accurately predict the election results Tuesday, notably in two states key to Donald Trump's victory, Pennsylvania and Wisconsin",https://www.washingtonpost.com/graphics/politics/2016-election/where-the-polls-got-it-wrong/img/2300-where-polls-were-wrong.jpg,,more,Where polling underestimated Trump's chances,/assets/images/more-2300-where-polls-were-wrong.jpg,https://www.washingtonpost.com/graphics/politics/2016-election/where-the-polls-got-it-wrong/img/2300-where-polls-were-wrong.jpg
We built these White Houses from plastic…and electoral votes,5-Nov-16,https://www.washingtonpost.com/sf/national/2016/11/05/electoral-vote-tracking-election-day/,Track the 2016 Electoral votes via 3D Printers.,https://www.washingtonpost.com/wp-srv/graphics/templates/mobile/ico/apple-touch-icon-144-precomposed.png,1,more,We built these White Houses from plastic…and electoral votes,/assets/images/more-apple-touch-icon-144-precomposed.png,https://www.washingtonpost.com/wp-srv/graphics/templates/mobile/ico/apple-touch-icon-144-precomposed.png
Everything that is more popular than Hillary Clinton and Donald Trump,1-Nov-16,http://www.washingtonpost.com/graphics/politics/2016-election/unpopular/,"This election has been called a choice between two bad options. Both candidates fare better than David Duke and Vladimir Putin, but can't beat out Olympic dressage.",https://www.washingtonpost.com/graphics/politics/2016-election/unpopular/img/2300-unpopular-promo.jpg,,more,Everything that is more popular than Hillary Clinton and Donald Trump,/assets/images/more-2300-unpopular-promo.jpg,https://www.washingtonpost.com/graphics/politics/2016-election/unpopular/img/2300-unpopular-promo.jpg
The uneasy mix of forces battling the Islamic State,24-Oct-16,http://www.washingtonpost.com/graphics/world/who-is-fighting-the-islamic-state/,"As Iraqi forces advance toward Mosul, here are the groups that are fighting the Islamic State in Iraq and Syria.",https://www.washingtonpost.com/graphics/world/who-is-fighting-the-islamic-state/img/2300who-is-fighting-isis-promo.jpg,1,more,The uneasy mix of forces battling the Islamic State,/assets/images/more-2300who-is-fighting-isis-promo.jpg,https://www.washingtonpost.com/graphics/world/who-is-fighting-the-islamic-state/img/2300who-is-fighting-isis-promo.jpg
